X,Y,MNRF_District,Stocking_Year,Species,Official_Waterbody_Name,Official_French_Waterbody_Name,Unoffcial_Waterbody_Name,Waterbody_Location_Identifier,Geographic_Township,Developmental_Stage,Number_of_Fish_Stocked,Latitude,Longitude,ObjectId
-84.75494,49.0912,Wawa District,2012,Brook Trout,The Other Man's Lake,The Other Man's Lake,The Other Mans Lake (Unofficial Name),16-6639-54398,LARKIN,Yearlings,500,49.0912,-84.75494,13179
-84.75494,49.0912,Wawa District,2021,Brook Trout,The Other Man's Lake,The Other Man's Lake,The Other Mans Lake (Unofficial Name),16-6639-54398,LARKIN,Yearlings,400,49.0912,-84.75494,13419
-84.75494,49.0912,Wawa District,2017,Brook Trout,The Other Man's Lake,The Other Man's Lake,The Other Mans Lake (Unofficial Name),16-6639-54398,LARKIN,Yearlings,800,49.0912,-84.75494,13451
-84.75494,49.0912,Wawa District,2016,Brook Trout,The Other Man's Lake,The Other Man's Lake,The Other Mans Lake (Unofficial Name),16-6639-54398,LARKIN,Yearlings,500,49.0912,-84.75494,13580
-84.75494,49.0912,Wawa District,2019,Brook Trout,The Other Man's Lake,The Other Man's Lake,The Other Mans Lake (Unofficial Name),16-6639-54398,LARKIN,Yearlings,500,49.0912,-84.75494,13733
-84.75494,49.0912,Wawa District,2015,Brook Trout,The Other Man's Lake,The Other Man's Lake,The Other Mans Lake (Unofficial Name),16-6639-54398,LARKIN,Yearlings,1000,49.0912,-84.75494,13829
-84.75494,49.0912,Wawa District,2014,Brook Trout,The Other Man's Lake,The Other Man's Lake,The Other Mans Lake (Unofficial Name),16-6639-54398,LARKIN,Yearlings,750,49.0912,-84.75494,13899
-84.75494,49.0912,Wawa District,2014,Brook Trout,The Other Man's Lake,The Other Man's Lake,The Other Mans Lake (Unofficial Name),16-6639-54398,LARKIN,Yearlings,800,49.0912,-84.75494,13900
-79.1963771,44.2631094,Aurora District,2021,Brook Trout,Uxbridge Brook,ruisseau Uxbridge,,17-6437-49029,GEORGINA,Yearlings,512,44.2631094,-79.1963771,782
-79.9293329,43.2670796,Guelph District,2012,Brown Trout,Spencer Creek,ruisseau Spencer,,17-5871-47913,ANCASTER,Yearlings,1000,43.2670796,-79.9293329,3563
