Species,Official_Waterbody_Name,Number_of_Fish_Stocked,Latitude,Longitude
Brook Trout,The Other Man's Lake,500,49.0912,-84.75494
Brook Trout,The Other Man's Lake,400,49.0912,-84.75494
Brook Trout,The Other Man's Lake,800,49.0912,-84.75494
Brook Trout,The Other Man's Lake,500,49.0912,-84.75494
Brook Trout,The Other Man's Lake,500,49.0912,-84.75494
Brook Trout,The Other Man's Lake,1000,49.0912,-84.75494
Brook Trout,The Other Man's Lake,750,49.0912,-84.75494
Brook Trout,The Other Man's Lake,800,49.0912,-84.75494
Brook Trout,Uxbridge Brook,512,44.2631094,-79.1963771
Brown Trout,Spencer Creek,1000,43.2670796,-79.9293329
Brown Trout,Spencer Creek,1000,43.2670796,-79.9293329
Brown Trout,Redhill Creek,1000,43.2627297,-79.772744
Brown Trout,Redhill Creek,1000,43.2627297,-79.772744
Brook Trout,Pauls Creek,500,44.952806,-76.5903765
Brook Trout,Pauls Creek,500,44.952806,-76.5903765
Brook Trout,Pauls Creek,500,44.952806,-76.5903765
Brook Trout,Pauls Creek,500,44.952806,-76.5903765
Brook Trout,Pauls Creek,500,44.952806,-76.5903765
Brook Trout,Pauls Creek,500,44.952806,-76.5903765
Brook Trout,Pauls Creek,500,44.952806,-76.5903765
Brook Trout,Pauls Creek,500,44.952806,-76.5903765
Brook Trout,Pauls Creek,500,44.952806,-76.5903765
Brook Trout,Pauls Creek,750,44.952806,-76.5903765
Brook Trout,Pauls Creek,500,44.952806,-76.5903765
Brown Trout,Mill Creek,500,43.3574695,-80.3156565
Brown Trout,Mill Creek,500,43.3574695,-80.3156565
Brown Trout,Mill Creek,500,43.3574695,-80.3156565
Brown Trout,Mill Creek,500,43.3574695,-80.3156565
Brown Trout,Mill Creek,542,43.3574695,-80.3156565
Brown Trout,Mill Creek,400,43.3574695,-80.3156565
Brown Trout,Mill Creek,517,43.3574695,-80.3156565
Brown Trout,Mill Creek,513,43.3574695,-80.3156565
Brown Trout,Mill Creek,551,43.3574695,-80.3156565
Brown Trout,Marl Creek,4713,44.4411374,-79.8926028
Brown Trout,Marl Creek,4995,44.4411374,-79.8926028
Brown Trout,Marl Creek,5155,44.4411374,-79.8926028
Brook Trout,Kilpecker Creek,500,45.0017194,-77.2760337
Brook Trout,Kilpecker Creek,500,45.0017194,-77.2760337
Brook Trout,Kilpecker Creek,500,45.0017194,-77.2760337
Brook Trout,Kilpecker Creek,500,45.0017194,-77.2760337
Brook Trout,Kilpecker Creek,402,45.0017194,-77.2760337
Brook Trout,Kilpecker Creek,500,45.0017194,-77.2760337
Brook Trout,Kilpecker Creek,500,45.0017194,-77.2760337
Brook Trout,Kilpecker Creek,500,45.0017194,-77.2760337
Brook Trout,Kilpecker Creek,500,45.0017194,-77.2760337
Brook Trout,Kilpecker Creek,500,45.0017194,-77.2760337
Brook Trout,Kenetogami Creek,898,47.7284206,-81.5816954
Brook Trout,Kenetogami Creek,1000,47.7284206,-81.5816954
Brook Trout,Kenetogami Creek,570,47.7284206,-81.5816954
Brook Trout,Junction Creek,1000,46.390921,-81.2103481
Brook Trout,Junction Creek,2000,46.390921,-81.2103481
Brook Trout,Junction Creek,1000,46.390921,-81.2103481
Brook Trout,Junction Creek,3000,46.390921,-81.2103481
Brook Trout,Junction Creek,1000,46.390921,-81.2103481
Brook Trout,Junction Creek,1000,46.390921,-81.2103481
Brook Trout,Junction Creek,1000,46.390921,-81.2103481
Brook Trout,Indian Creek,500,45.3039705,-76.2826316
Brook Trout,Indian Creek,500,45.3039705,-76.2826316
Brook Trout,Indian Creek,500,45.3039705,-76.2826316
Brook Trout,Indian Creek,500,45.3039705,-76.2826316
Brook Trout,Indian Creek,500,45.3039705,-76.2826316
Brook Trout,Indian Creek,500,45.3039705,-76.2826316
Brook Trout,Indian Creek,500,45.3039705,-76.2826316
Brook Trout,Indian Creek,500,45.3039705,-76.2826316
Brook Trout,Indian Creek,500,45.3039705,-76.2826316
Brook Trout,Hydes Creek,1500,45.2335963,-77.238336
Brook Trout,Hydes Creek,1500,45.2335963,-77.238336
Brook Trout,Hydes Creek,1500,45.2335963,-77.238336
Brook Trout,Hydes Creek,1500,45.2335963,-77.238336
Brook Trout,Hydes Creek,1500,45.2335963,-77.238336
Brook Trout,Hydes Creek,1205,45.2335963,-77.238336
Brook Trout,Hydes Creek,1500,45.2335963,-77.238336
Brook Trout,Hydes Creek,1500,45.2335963,-77.238336
Brook Trout,Hydes Creek,1500,45.2335963,-77.238336
Brook Trout,Hydes Creek,1500,45.2335963,-77.238336
Brown Trout,Hogg Creek,4712,44.7427513,-79.7849302
Brown Trout,Hogg Creek,4967,44.7427513,-79.7849302
Brown Trout,Hogg Creek,3929,44.7427513,-79.7849302
Brown Trout,Grindstone Creek,1000,43.290341,-79.8831545
Brown Trout,Eels Creek,2500,44.6588811,-78.0970716
Brown Trout,Eels Creek,2500,44.6588811,-78.0970716
Brown Trout,Eels Creek,1100,44.6588811,-78.0970716
Brown Trout,Eels Creek,2500,44.6588811,-78.0970716
Brown Trout,Eels Creek,2500,44.6588811,-78.0970716
Brown Trout,Eels Creek,2507,44.6588811,-78.0970716
Brown Trout,Eels Creek,2504,44.6588811,-78.0970716
Brown Trout,Eels Creek,2500,44.6588811,-78.0970716
Brown Trout,Eels Creek,1903,44.6588811,-78.0970716
Brook Trout,Eastons Creek,500,45.1208947,-76.5231608
